Genes	Categories
A0A026W2M7	ko00000
A0A026W2M7	ko00001
A0A026W2M7	ko01000
A0A026W2M7	ko01001
A0A026W2M7	ko03000
A0A026W2M7	ko03310
A0A026WT45	ko00000
A0A026WT45	ko04131
A0A026WUZ6	ko00000
A0A026WUZ6	ko04121
A0A026WZY9	ko00000
A0A026WZY9	ko00001
A0A026WZY9	ko04031
A0A026WZY9	ko04131
A0A026WZY9	ko04147
A0A026WMM1	ko00000
A0A026WMM1	ko04516
A0A026VW50	ko00000
A0A026VW50	ko00001
A0A026X0Z2	ko00000
A0A026X0Z2	ko01000
A0A026WU53	ko00000
A0A026WU53	ko00001
A0A026WU53	ko03110
A0A026WU53	ko04091
A0A026WER7	ko00000
A0A026WER7	ko00001
A0A026WER7	ko00002
A0A026WER7	ko01000
A0A026VYH9	ko00000
A0A026VYH9	ko03036
A0A3L8D6N6	ko00000
A0A3L8DI85	ko00000
A0A3L8DI85	ko02000
A0A3L8DEC5	ko00000
A0A3L8DEC5	ko04131
A0A3L8E043	ko00000
A0A3L8E043	ko00001
A0A3L8E043	ko01000
A0A026X0I2	ko00000
A0A026X0I2	ko00001
A0A026X0I2	ko04131
A0A3L8DUL0	ko00000
A0A3L8DUL0	ko00001
A0A3L8DUL0	ko01000
A0A3L8DUL0	ko03009
A0A3L8DUL0	ko03041
A0A026WEH4	ko00000
A0A026WEH4	ko00001
A0A026WEH4	ko01000
A0A3L8D7T6	ko00000
A0A3L8D7T6	ko01000
A0A3L8D7T6	ko03032
A0A3L8D7S1	ko00000
A0A3L8D7S1	ko03000
A0A3L8D7S1	ko03036
A0A3L8D7S1	ko04131
A0A3L8DUI6	ko00000
A0A3L8DUI6	ko00001
A0A3L8DUI6	ko03036
A0A026WGG2	ko00000
A0A026WGG2	ko00001
A0A026WGG2	ko03000
A0A3L8E0H9	ko00000
A0A3L8E0H9	ko03036
A0A3L8E0H9	ko04812
A0A3L8E374	ko00000
A0A3L8E374	ko00001
A0A3L8E374	ko03009
A0A026X1M9	ko00000
A0A026X1M9	ko03000
A0A026W7W1	ko00000
A0A026W7W1	ko03000
A0A026VYF5	ko00000
A0A026VYF5	ko01000
A0A026VVB5	ko00000
A0A026VVB5	ko00001
A0A026VVB5	ko01000
A0A026VVB5	ko01006
A0A3L8DGS4	ko00000
A0A3L8DGS4	ko01000
A0A3L8DGS4	ko03016
A0A3L8DZP9	ko00000
A0A3L8DZP9	ko00001
A0A3L8DZP9	ko01000
A0A3L8DUL5	ko00000
A0A3L8DUL5	ko00001
A0A3L8DUL5	ko01000
A0A3L8DUL5	ko01002
A0A3L8DUL5	ko04090
A0A3L8DUL5	ko04131
A0A3L8DUL5	ko04147
A0A3L8DZK0	ko00000
A0A3L8E3V7	ko00000
A0A3L8E3V7	ko00001
A0A3L8E3V7	ko00002
A0A3L8E3V7	ko01000
A0A3L8E3V7	ko01001
A0A026WDE3	ko00000
A0A026WDE3	ko00001
A0A026WDE3	ko04516
A0A3L8DVD0	ko00000
A0A3L8DVD0	ko03000
A0A026X2Z1	ko00000
A0A026X2Z1	ko00001
A0A026X2Z1	ko00536
A0A3L8DJE9	ko00000
A0A3L8DJE9	ko00001
A0A3L8DJE9	ko03000
A0A3L8DQS4	ko00000
A0A3L8DQS4	ko03019
A0A026W6F9	ko00000
A0A026W6F9	ko00001
A0A026W6F9	ko04131
A0A3L8DSS1	ko00000
A0A3L8DSS1	ko00001
A0A3L8DSS1	ko00002
A0A3L8DSS1	ko01000
A0A3L8DSS1	ko01003
A0A026W6M8	ko00000
A0A026W6M8	ko00001
A0A026W6M8	ko00002
A0A026W6M8	ko03051
A0A3L8DMA9	ko00000
A0A3L8DMA9	ko01000
A0A3L8DMA9	ko01001
A0A3L8DMA9	ko03041
A0A3L8D7L9	ko00000
A0A3L8D7L9	ko01000
A0A3L8DWT4	ko00000
A0A3L8DWT4	ko02000
A0A3L8DF43	ko00000
A0A3L8DF43	ko00001
A0A3L8DF43	ko01000
A0A026VYI2	ko00000
A0A026VYI2	ko00001
A0A026VYI2	ko03032
A0A3L8D9U6	ko00000
A0A3L8D9U6	ko00001
A0A3L8D9U6	ko03036
A0A026WKR1	ko00000
A0A026WKR1	ko03036
A0A3L8DA84	ko00000
A0A3L8DA84	ko00001
A0A3L8DA84	ko04147
A0A3L8DA84	ko04812
A0A026WS80	ko00000
A0A026WS80	ko00001
A0A026WS80	ko03400
A0A026WNV1	ko00000
A0A026WNV1	ko00001
A0A026WNV1	ko00536
A0A026WNV1	ko04052
A0A026WNV1	ko04516
A0A3L8D7Z3	ko00000
A0A3L8D7Z3	ko00001
A0A3L8D7Z3	ko03036
A0A3L8DTP7	ko00000
A0A3L8DTP7	ko00199
A0A3L8DTP7	ko01000
A0A026WLE2	ko00000
A0A026WLE2	ko00001
A0A026WLE2	ko00002
A0A026WLE2	ko03019
A0A026WFL4	ko00000
A0A026WFL4	ko01000
A0A026WFL4	ko03019
A0A3L8DE84	ko00000
A0A3L8DE84	ko03000
A0A3L8D6U2	ko00000
A0A3L8D6U2	ko00001
A0A3L8D6U2	ko04040
A0A026W749	ko00000
A0A026W749	ko04131
A0A3L8DAK7	ko00000
A0A3L8DAK7	ko01000
A0A3L8DAK7	ko01002
A0A3L8E1E2	ko00000
A0A3L8E1E2	ko04121
A0A026WLU1	ko00000
A0A026WLU1	ko00001
A0A026WLU1	ko00002
A0A026WLU1	ko01000
A0A026WLU1	ko01003
A0A3L8DI46	ko00000
A0A3L8DI46	ko00001
A0A3L8DI46	ko00002
A0A3L8DI46	ko01000
A0A3L8DI46	ko01004
A0A026WRQ4	ko00000
A0A026WRQ4	ko00001
A0A026WRQ4	ko04090
A0A026WPV5	ko00000
A0A026WPV5	ko03036
A0A026WGQ1	ko00000
A0A026WGQ1	ko00001
A0A026WGQ1	ko00002
A0A026WGQ1	ko01000
A0A3L8DH75	ko00000
A0A3L8DH75	ko00001
A0A3L8DH75	ko00002
A0A3L8DH75	ko01000
A0A3L8DH75	ko01007
A0A3L8DH75	ko03016
A0A026WM49	ko00000
A0A026WM49	ko00001
A0A026WM49	ko01000
A0A026WM49	ko03036
A0A026WMU6	ko00000
A0A026WMU6	ko01000
A0A026WMU6	ko01001
A0A026WDZ5	ko00000
A0A026WDZ5	ko00001
A0A026WDZ5	ko01000
A0A026WDZ5	ko01001
A0A026WY36	ko00000
A0A026WY36	ko04131
A0A3L8E300	ko00000
A0A3L8E300	ko00001
A0A3L8E300	ko00002
A0A3L8E300	ko01000
A0A3L8E300	ko01007
A0A3L8E300	ko03016
A0A026VVY7	ko00000
A0A026VVY7	ko00001
A0A026VVY7	ko01000
A0A026VVY7	ko03036
A0A3L8DFK9	ko00000
A0A3L8DFK9	ko00001
A0A3L8DIB4	ko00000
A0A3L8DIB4	ko00001
A0A3L8DIB4	ko03012
A0A3L8DIB4	ko03019
A0A026VV42	br01610
A0A026VV42	ko00000
A0A026VV42	ko00001
A0A026VV42	ko00002
A0A026VV42	ko03011
A0A026X241	ko00000
A0A026X241	ko00001
A0A026X241	ko01000
A0A026W149	ko00000
A0A026W149	ko03036
A0A026WIC2	ko00000
A0A026WIC2	ko00001
A0A026WIC2	ko01000
A0A026WIC2	ko01001
A0A026WBT0	br01610
A0A026WBT0	ko00000
A0A026WBT0	ko00001
A0A026WBT0	ko00002
A0A026WBT0	ko03011
A0A026VYE6	ko00000
A0A026VYE6	ko00001
A0A026VYE6	ko03000
A0A3L8DMI9	ko00000
A0A3L8DMI9	ko00001
A0A3L8DMI9	ko04131
A0A3L8DMI9	ko04516
A0A026VXS7	ko00000
A0A026VXS7	ko02000
A0A026W529	ko00000
A0A026W529	ko04121
A0A3L8D5U5	ko00000
A0A3L8D5U5	ko00001
A0A3L8D5U5	ko01000
A0A3L8D5U5	ko04121
A0A026VXX7	ko00000
A0A026VXX7	ko00001
A0A026VXX7	ko00002
A0A3L8DKC4	ko00000
A0A3L8DKC4	ko00001
A0A3L8DKC4	ko01000
A0A026VW55	ko00000
A0A026VW55	ko02000
A0A026W185	ko00000
A0A026W185	ko02000
A0A3L8DFC4	ko00000
A0A3L8DFC4	ko00001
A0A3L8DFC4	ko04030
A0A3L8DKM9	ko00000
A0A3L8DKM9	ko02000
A0A3L8DB92	ko00000
A0A3L8DB92	ko04131
A0A026WS33	ko00000
A0A026WS33	ko00001
A0A026WS33	ko01000
A0A026WS33	ko03036
A0A026W9M7	ko00000
A0A026W9M7	ko03019
A0A026W9M7	ko03021
A0A3L8DNA2	ko00000
A0A3L8DNA2	ko02000
K4PJV9	ko00000
K4PJV9	ko00001
K4PJV9	ko00002
K4PJV9	ko03029
A0A026W8Y8	ko00000
A0A026W8Y8	ko00001
A0A026W8Y8	ko00002
A0A026W8Y8	ko01000
A0A026WQ22	ko00000
A0A026WQ22	ko03000
A0A3L8DII6	br01610
A0A3L8DII6	ko00000
A0A3L8DII6	ko00001
A0A3L8DII6	ko00002
A0A3L8DII6	ko03011
A0A026W0W2	ko00000
A0A026W0W2	ko00001
A0A026W0W2	ko01000
A0A026W0W2	ko04121
A0A026WLA8	ko00000
A0A026WLA8	ko00001
A0A026WLA8	ko02000
A0A026WAJ2	ko00000
A0A026WAJ2	ko04121
A0A3L8DR33	ko00000
A0A3L8DR33	ko00001
A0A3L8DR33	ko01000
A0A3L8DR33	ko01002
A0A3L8DR33	ko04090
A0A3L8DR33	ko04131
A0A3L8DR33	ko04147
A0A026WI47	ko00000
A0A026WI47	ko04131
A0A3L8E079	ko00000
A0A3L8E079	ko00001
A0A3L8E079	ko04131
A0A3L8DRC6	ko00000
A0A3L8DRC6	ko00001
A0A3L8DRC6	ko00002
A0A3L8DRC6	ko03400
A0A3L8DRC6	ko04121
A0A3L8D9L1	ko00000
A0A3L8D9L1	ko04131
A0A3L8E2M4	ko00000
A0A3L8E2M4	ko00001
A0A3L8E2M4	ko01000
A0A3L8E2M4	ko03019
A0A3L8E2M4	ko04121
A0A026WS90	ko00000
A0A026WS90	ko04131
A0A026WEJ6	ko00000
A0A026WEJ6	ko00001
A0A026WEJ6	ko03000
A0A026VV05	ko00000
A0A026VV05	ko00001
A0A026VV05	ko00002
A0A026VV05	ko01009
A0A026VV05	ko03009
A0A026VV05	ko03029
A0A026VV05	ko03041
A0A026VV05	ko03051
A0A026VV05	ko03110
A0A026VV05	ko04131
A0A026VV05	ko04147
A0A026VV05	ko04516
A0A026W0T4	ko00000
A0A026W0T4	ko01000
A0A026W0T4	ko01002
A0A3L8DBZ7	ko00000
A0A3L8DBZ7	ko04131
A0A026WVU0	ko00000
A0A026WVU0	ko00001
A0A026WVU0	ko04131
A0A026WPB9	ko00000
A0A026WPB9	ko04131
A0A3L8DGP1	ko00000
A0A3L8DGP1	ko03041
A0A3L8D8X4	ko00000
A0A3L8D8X4	ko04812
A0A3L8DC13	ko00000
A0A3L8DC13	ko00001
A0A3L8DC13	ko00002
A0A3L8DC13	ko01000
A0A3L8DC13	ko04131
A0A026X3X4	ko00000
A0A026X3X4	ko00001
A0A026X3X4	ko00002
A0A026X583	ko00000
A0A026X583	ko03036
A0A026X583	ko04131
A0A3L8D9S6	ko00000
A0A3L8D9S6	ko00001
A0A3L8D9S6	ko01000
A0A3L8D9S6	ko01002
A0A3L8D9S6	ko04147
A0A026WAI7	ko00000
A0A026WAI7	ko01009
A0A026VUH8	ko00000
A0A026VUH8	ko00001
A0A026VUH8	ko02000
A0A026VY02	ko00000
A0A026VY02	ko00001
A0A026VY02	ko00002
A0A026VY02	ko01009
A0A026VY02	ko03041
A0A3L8DPU4	ko00000
A0A3L8DPU4	ko00199
A0A3L8DPU4	ko01000
A0A026VRY2	ko00000
A0A026VRY2	ko01000
A0A026VRY2	ko01002
A0A026VRY2	ko03110
A0A3L8E4C2	ko00000
A0A3L8E4C2	ko00001
A0A3L8E4C2	ko03110
A0A3L8E4C2	ko04131
A0A3L8DP46	ko00000
A0A3L8DP46	ko00001
A0A3L8DP46	ko03000
A0A3L8D6L2	ko00000
A0A3L8D6L2	ko00001
A0A3L8D6L2	ko01000
A0A3L8D6L2	ko01001
A0A026X1M7	ko00000
A0A026X1M7	ko00001
A0A026X1M7	ko01000
A0A026X1M7	ko03036
A0A026WHT8	ko00000
A0A026WHT8	ko00001
A0A026WHT8	ko00002
A0A026WHT8	ko01000
A0A026WHT8	ko02044
A0A026WP76	ko00000
A0A026WP76	ko00001
A0A026WP76	ko00002
A0A026WP76	ko01000
A0A026WP76	ko03009
A0A026VYJ8	ko00000
A0A026VYJ8	ko00001
A0A026VYJ8	ko00002
A0A026VYJ8	ko03051
A0A026WSL8	ko00000
A0A026WSL8	ko03000
A0A026WL02	br01610
A0A026WL02	ko00000
A0A026WL02	ko00001
A0A026WL02	ko00002
A0A026WL02	ko03011
A0A026WI09	ko00000
A0A026WI09	ko00001
A0A026WI09	ko04040
A0A026VVP3	ko00000
A0A026VVP3	ko01000
A0A026VVP3	ko01009
A0A026VVP3	ko03009
A0A026VVP3	ko03036
A0A3L8DYD2	ko00000
A0A3L8DYD2	ko00001
A0A3L8DYD2	ko00002
A0A3L8DYD2	ko01000
A0A3L8DYD2	ko01001
A0A3L8DYD2	ko01020
A0A3L8DYD2	ko04050
A0A026W4B1	ko00000
A0A026W4B1	ko01000
A0A026W4B1	ko01009
A0A3L8DIM9	ko00000
A0A3L8DIM9	ko00001
A0A3L8DIM9	ko01000
A0A3L8DIM9	ko01001
A0A3L8DIM9	ko03036
A0A3L8DAN0	ko00000
A0A3L8DAN0	ko00001
A0A3L8DAN0	ko00002
A0A3L8DAN0	ko01000
A0A3L8DAN0	ko03019
A0A3L8DAN0	ko04147
A0A026WE92	ko00000
A0A026WE92	ko00001
A0A026WE92	ko00002
A0A026WE92	ko01000
A0A026WE92	ko01003
A0A026W6U6	ko00000
A0A026W6U6	ko00001
A0A026W6U6	ko00002
A0A026W6U6	ko01000
A0A026W6U6	ko01004
A0A026WZJ4	ko00000
A0A026WZJ4	ko03000
A0A026W4M7	ko00000
A0A026W4M7	ko01000
A0A3L8DVD1	ko00000
A0A3L8DVD1	ko00001
A0A3L8DVD1	ko01000
A0A3L8DVD1	ko01001
A0A3L8E1S1	ko00000
A0A3L8E1S1	ko03032
A0A026W4K3	ko00000
A0A026W4K3	ko04516
A0A026WVU9	ko00000
A0A026WVU9	ko03000
A0A026WVU9	ko03310
A0A026W3G9	ko00000
A0A026W3G9	ko00001
A0A026W3G9	ko00002
A0A026W3G9	ko03019
A0A026W3G9	ko04131
A0A026W3G9	ko04147
A0A3L8E0V8	ko00000
A0A3L8E0V8	ko00001
A0A3L8E0V8	ko01000
A0A3L8E0V8	ko01001
A0A3L8E0V8	ko01020
A0A3L8E0V8	ko04050
A0A3L8E0V8	ko04147
A0A3L8E0V8	ko04516
A0A3L8D5D0	ko00000
A0A3L8D5D0	ko01000
A0A3L8D5D0	ko04121
A0A026WBM2	ko00000
A0A026WBM2	ko00001
A0A026WBM2	ko00002
A0A026WBM2	ko01000
A0A3L8DKP6	ko00000
A0A3L8DKP6	ko00001
A0A3L8DKP6	ko01000
A0A3L8DKP6	ko01003
A0A026WU72	ko00000
A0A026WU72	ko00001
A0A026WU72	ko00002
A0A026WU72	ko01000
A0A3L8D5M3	ko00000
A0A3L8D5M3	ko01000
A0A026WLD5	ko00000
A0A026WLD5	ko00001
A0A026WLD5	ko00536
A0A026WLD5	ko01000
A0A026WLD5	ko01001
A0A026WLD5	ko01020
A0A026WLD5	ko04050
A0A026WLD5	ko04090
A0A026WLD5	ko04516
A0A3L8DKF0	ko00000
A0A3L8DKF0	ko01000
A0A3L8DKF0	ko03041
A0A026WRV5	ko00000
A0A026WRV5	ko01000
A0A026WRV5	ko03021
A0A026W0T9	ko00000
A0A026W0T9	ko00001
A0A026W0T9	ko01009
A0A3L8E6R7	ko00000
A0A3L8E6R7	ko00001
A0A3L8E6R7	ko00002
A0A3L8E6R7	ko01000
A0A3L8E6R7	ko01003
A0A3L8DQE7	ko00000
A0A3L8DQE7	ko01000
A0A3L8DQE7	ko01009
A0A3L8D8S5	ko00000
A0A3L8D8S5	ko00001
A0A3L8D8S5	ko03051
A0A3L8DIM5	ko00000
A0A3L8DIM5	ko04050
A0A3L8DIM5	ko04131
A0A3L8DUK9	ko00000
A0A3L8DUK9	ko00001
A0A3L8DUK9	ko04121
A0A3L8E3E2	ko00000
A0A3L8E3E2	ko00001
A0A3L8E3E2	ko01000
A0A3L8E3E2	ko01003
A0A3L8D6P4	ko00000
A0A3L8D6P4	ko00199
A0A3L8D6P4	ko01000
A0A3L8DDX4	ko00000
A0A3L8DDX4	ko00001
A0A3L8DDX4	ko00002
A0A3L8DDX4	ko01000
A0A3L8DDX4	ko01001
A0A026WC67	ko00000
A0A026WC67	ko00001
A0A026WC67	ko01000
A0A026WC67	ko03000
A0A026WC67	ko03036
A0A3L8DW92	ko00000
A0A3L8DW92	ko00001
A0A3L8DW92	ko01000
A0A3L8DW92	ko03036
A0A026WIE6	ko00000
A0A026WIE6	ko00001
A0A026WIE6	ko03000
A0A026WQL2	ko00000
A0A026WQL2	ko00001
A0A026WQL2	ko02000
A0A026WIM3	ko00000
A0A026WIM3	ko02000
A0A3L8DCE9	ko00000
A0A3L8DCE9	ko00001
A0A3L8DCE9	ko00002
A0A3L8DCE9	ko02044
A0A026WDE7	ko00000
A0A026WDE7	ko00001
A0A026WDE7	ko04516
A0A026WXK6	ko00000
A0A026WXK6	ko00001
A0A026WXK6	ko01000
A0A026WXK6	ko01001
A0A026WXK6	ko01020
A0A026WXK6	ko04050
A0A026WXK6	ko04147
A0A026WXK6	ko04516
A0A026WE40	ko00000
A0A026WE40	ko01000
A0A3L8DAM1	ko00000
A0A3L8DAM1	ko00001
A0A026WKS3	ko00000
A0A026WKS3	ko04131
A0A026WZH0	ko00000
A0A026WZH0	ko03036
A0A026WZH0	ko04030
A0A3L8DWG3	ko00000
A0A3L8DWG3	ko04040
A0A3L8DWP9	ko00000
A0A3L8DWP9	ko04052
A0A026WUA2	ko00000
A0A026WUA2	ko00001
A0A026WUA2	ko01000
A0A026W9G6	ko00000
A0A026W9G6	ko00001
A0A3L8DNZ8	ko00000
A0A3L8DNZ8	ko00001
A0A3L8DNZ8	ko01000
A0A3L8DNZ8	ko01009
A0A026W0P3	ko00000
A0A026W0P3	ko01002
A0A026WLN8	ko00000
A0A026WLN8	ko00001
A0A026WLN8	ko01000
A0A026WLN8	ko03036
A0A3L8DML5	ko00000
A0A3L8DML5	ko03036
A0A026WRQ5	ko00000
A0A026WRQ5	ko00001
A0A026WRQ5	ko00002
A0A026WRQ5	ko03019
A0A026WRQ5	ko03041
A0A026WQT0	ko00000
A0A3L8DIN0	ko00000
A0A3L8DIN0	ko04131
A0A026WYP3	ko00000
A0A026WYP3	ko00001
A0A3L8DBQ7	ko00000
A0A3L8DBQ7	ko00001
A0A3L8DBQ7	ko04812
A0A3L8DEJ0	ko00000
A0A3L8DEJ0	ko00001
A0A3L8DEJ0	ko00002
A0A3L8DEJ0	ko01000
A0A3L8DEJ0	ko01001
A0A3L8DEJ0	ko01020
A0A3L8DEJ0	ko04050
A0A026WZT4	ko00000
A0A026WZT4	ko00001
A0A026WZT4	ko01000
A0A026WZT4	ko03036
A0A026WI33	ko00000
A0A026WI33	ko00001
A0A026WI33	ko01000
A0A026WI33	ko03012
A0A026WI33	ko03029
A0A026WI33	ko03036
A0A026WI33	ko04147
A0A026WYL1	ko00000
A0A026WYL1	ko00001
A0A026WYL1	ko00002
A0A026WYL1	ko01000
A0A026WYL1	ko01003
A0A3L8DE98	ko00000
A0A3L8DE98	ko04131
A0A3L8DJT3	ko00000
A0A3L8DJT3	ko00001
A0A3L8DJT3	ko01000
A0A3L8DJT3	ko01009
A0A3L8DJT3	ko03019
A0A3L8DJT3	ko03036
A0A3L8DJT3	ko04131
A0A026WPG9	ko00000
A0A026WPG9	ko00001
A0A026WPG9	ko01000
A0A026WPG9	ko01001
A0A026VVV2	ko00000
A0A026VVV2	ko00001
A0A026VVV2	ko00002
A0A026VVV2	ko01000
A0A026VVV2	ko01007
A0A026VVV2	ko03016
A0A026VUA3	ko00000
A0A026VUA3	ko00001
A0A026VUA3	ko01000
A0A026VUA3	ko03036
A0A3L8D3E7	ko00000
A0A3L8D3E7	ko04030
A0A026VTH9	ko00000
A0A026VTH9	ko01000
A0A026VTH9	ko01001
A0A026WEX0	ko00000
A0A026WEX0	ko04131
A0A026WXA8	ko00000
A0A026WXA8	ko03036
A0A026W1U9	ko00000
A0A026W1U9	ko00001
A0A026WAJ1	ko00000
A0A026WAJ1	ko00001
A0A026WAJ1	ko04090
A0A026WAJ1	ko04091
A0A026WAJ1	ko04147
A0A026WMX6	ko00000
A0A026WMX6	ko02000
A0A3L8DBP0	ko00000
A0A3L8DBP0	ko00001
A0A3L8DBP0	ko01000
A0A3L8DBP0	ko03019
A0A026W478	ko00000
A0A026W478	ko00001
A0A3L8DKH0	ko00000
A0A3L8DKH0	ko04030
A0A3L8DPQ4	ko00000
A0A3L8DPQ4	ko02000
A0A3L8DPH4	ko00000
A0A3L8DPH4	ko00001
A0A3L8DPH4	ko00002
A0A3L8DPH4	ko01000
A0A3L8D3T0	ko00000
A0A3L8D3T0	ko00001
A0A3L8D3T0	ko03000
A0A3L8DJQ8	ko00000
A0A3L8DJQ8	ko04121
A0A3L8DML2	ko00000
A0A3L8DML2	ko00001
A0A3L8DML2	ko02000
A0A026WWE3	ko00000
A0A026WWE3	ko03009
A0A026X0P0	ko00000
A0A026X0P0	ko00001
A0A026X0P0	ko01000
A0A3L8DZL6	ko00000
A0A3L8DZL6	ko02000
A0A026VRL3	ko00000
A0A026VRL3	ko00001
A0A026VRL3	ko00002
A0A026VRL3	ko01000
A0A3L8DZR1	ko00000
A0A3L8DZR1	ko00001
A0A3L8DZR1	ko03032
A0A3L8D7B1	ko00000
A0A3L8D7B1	ko00001
A0A3L8DIG9	ko00000
A0A3L8DIG9	ko00001
A0A3L8DIG9	ko00002
A0A3L8DIG9	ko01000
A0A026WJX0	ko00000
A0A026WJX0	ko04131
A0A026WVV9	ko00000
A0A026WVV9	ko01000
A0A3L8DIC8	br01610
A0A3L8DIC8	ko00000
A0A3L8DIC8	ko00001
A0A3L8DIC8	ko00002
A0A3L8DIC8	ko03011
A0A3L8DIC8	ko04131
A0A026WT47	br01601
A0A026WT47	ko00000
A0A026WT47	ko00001
A0A026WT47	ko00002
A0A026WT47	ko01000
A0A026WGK5	ko00000
A0A026WGK5	ko03000
A0A026WS35	ko00000
A0A026WS35	ko01000
A0A026WS35	ko03021
A0A026WS35	ko03036
A0A026WPV7	ko00000
A0A026WPV7	ko01009
A0A026WPV7	ko03036
A0A026WPV7	ko04131
A0A026WPV7	ko04147
A0A026WPV7	ko04812
A0A026WP52	ko00000
A0A026WP52	ko03041
A0A026WHB1	ko00000
A0A026WHB1	ko00001
A0A026WHB1	ko01000
A0A026WHB1	ko01009
A0A3L8DCU2	ko00000
A0A3L8DCU2	ko00001
A0A3L8DCU2	ko03041
A0A3L8E405	ko00000
A0A3L8E405	ko00001
A0A3L8E405	ko03041
A0A3L8D6X7	ko00000
A0A3L8D7V6	ko00000
A0A3L8D7V6	ko03000
A0A3L8D7V6	ko03029
A0A3L8D7V6	ko03036
A0A026WWQ0	ko00000
A0A026WWQ0	ko03400
A0A026WPK3	ko00000
A0A026WPK3	ko01000
A0A026WPK3	ko03016
A0A3L8DES7	ko00000
A0A3L8DES7	ko00001
A0A3L8DES7	ko02000
A0A026WC02	ko00000
A0A026WC02	ko00001
A0A026WC02	ko03000
A0A026WC62	ko00000
A0A026WC62	ko00001
A0A026WC62	ko00002
A0A026WC62	ko01000
A0A026WCL3	ko00000
A0A026WCL3	ko00001
A0A026WCL3	ko00002
A0A026WCL3	ko01000
A0A026WCL3	ko04131
A0A026W3W6	br01610
A0A026W3W6	ko00000
A0A026W3W6	ko00001
A0A026W3W6	ko00002
A0A026W3W6	ko03011
A0A3L8DIJ3	ko00000
A0A3L8DIJ3	ko00001
A0A3L8DIJ3	ko04030
A0A3L8DL12	ko00000
A0A3L8DL12	ko00001
A0A3L8DL12	ko03021
A0A3L8DL12	ko03036
A0A026W4W9	ko00000
A0A026W4W9	ko01000
A0A026W4W9	ko04121
A0A026W3G2	ko00000
A0A026W3G2	ko02000
A0A3L8D5W7	ko00000
A0A3L8D5W7	ko01000
A0A3L8D5W7	ko04121
A0A3L8DAC5	ko00000
A0A3L8DAC5	ko00001
A0A3L8DAC5	ko02000
A0A026W432	ko00000
A0A026W432	ko00001
A0A026W432	ko02000
A0A026X0H2	ko00000
A0A026X0H2	ko02000
A0A3L8DVI7	ko00000
A0A3L8DVI7	ko03036
A0A3L8D1Z8	ko00000
A0A3L8D1Z8	ko00001
A0A3L8D1Z8	ko00002
A0A3L8D1Z8	ko03029
A0A026WHM1	ko00000
A0A026WHM1	ko01000
A0A026WHM1	ko04121
A0A026WHM1	ko04131
A0A026VXQ2	ko00000
A0A026VXQ2	ko00001
A0A3L8DZG7	ko00000
A0A3L8DZG7	ko04030
A0A3L8DWI3	ko00000
A0A3L8DWI3	ko00001
A0A3L8DWI3	ko01000
A0A3L8DWI3	ko03016
A0A3L8E1I9	ko00000
A0A3L8E1I9	ko00001
A0A026X0P7	ko00000
A0A026X0P7	ko03036
A0A3L8DLV6	ko00000
A0A3L8DLV6	ko00001
A0A3L8DWS1	ko00000
A0A3L8DWS1	ko00001
A0A3L8DWS1	ko04131
A0A3L8DWS1	ko04516
A0A3L8DIG8	ko00000
A0A3L8DIG8	ko00001
A0A3L8DWI4	ko00000
A0A3L8DWI4	ko04121
A0A3L8D507	ko00000
A0A3L8D507	ko00001
A0A3L8D507	ko00002
A0A3L8D507	ko03400
A0A026VZ69	ko00000
A0A026VZ69	ko03000
A0A026VZ69	ko03036
A0A026WX79	ko00000
A0A026WX79	ko00001
A0A026WX79	ko03110
A0A3L8DT62	ko00000
A0A3L8DT62	ko00001
A0A3L8DT62	ko00002
A0A3L8DT62	ko03041
A0A3L8DT62	ko03400
A0A026WVE2	ko00000
A0A026WVE2	ko00001
A0A026WVE2	ko01000
A0A026WVE2	ko04121
A0A026W5E7	ko00000
A0A026W5E7	ko04031
A0A026W5E7	ko04131
A0A026W164	ko00000
A0A026W164	ko00001
A0A026W164	ko01000
A0A026W164	ko01002
A0A026W164	ko04090
A0A3L8D574	ko00000
A0A3L8D574	ko03000
A0A3L8E103	ko00000
A0A3L8E103	ko04030
A0A026WSN6	ko00000
A0A026WSN6	ko00001
A0A026WSN6	ko01009
A0A026WA79	ko00000
A0A026WA79	ko00001
A0A026WA79	ko00002
A0A026WA79	ko03032
A0A026WA79	ko03400
A0A3L8D474	ko00000
A0A3L8D474	ko04030
A0A3L8E3L3	ko00000
A0A3L8E3L3	ko00001
A0A3L8E3L3	ko02000
A0A3L8E3L3	ko04147
A0A026WGU7	ko00000
A0A026WGU7	ko00001
A0A026WGU7	ko03029
A0A026WGU7	ko04131
K4PJV3	ko00000
K4PJV3	ko00001
K4PJV3	ko00002
K4PJV3	ko03029
A0A026VRZ2	ko00000
A0A026VRZ2	ko01000
A0A026VRZ2	ko03016
A0A026WQA7	ko00000
A0A026WQA7	ko00001
A0A026WQA7	ko00002
A0A026WQA7	ko01000
A0A026WQA7	ko03032
A0A026WQA7	ko03400
A0A026WRJ1	ko00000
A0A026WRJ1	ko00001
A0A026WRJ1	ko01009
A0A026WRJ1	ko03036
A0A3L8E2K3	ko00000
A0A3L8E2K3	ko03000
A0A026WTQ4	ko00000
A0A026WTQ4	ko04040
A0A3L8DTH5	ko00000
A0A3L8DTH5	ko03036
A0A3L8DBV9	ko00000
A0A3L8DBV9	ko00001
A0A3L8DBV9	ko03036
A0A026WQU7	ko00000
